,zpid,bed,bath,sqft,price
0,247509225,3,2,"1,500","$399,000"
1,13602165,3,2,"1,310","$345,000"
2,13561330,3,3,"2,192","$470,000"
3,13600860,4,3,"2,244","$400,000"
4,247511103,5,4,"3,405","$624,900"
5,13619112,5,2,"2,146","$395,000"
6,13615352,3,2,"1,862","$340,000"
7,294979957,4,3,"3,718","$787,000"
8,13629281,3,2,"2,226","$575,000"
9,59736095,3,2,"1,152","$394,900"
10,13573798,4,3,"3,223","$560,000"
11,114184528,4,3,"1,994","$395,000"
12,13543937,4,3,"2,682","$400,000"
13,13607304,4,2,"1,701","$425,000"
14,338030102,3,3,"1,642","$400,000"
15,13555621,4,4,"3,990","$650,000"
16,13651688,5,4,"3,585","$659,900"
17,13671198,4,2,"2,692","$635,000"
18,13543561,3,2,944,"$340,000"
19,13557461,4,3,"2,365","$425,000"
20,13619653,4,2,"2,188","$380,000"
21,13591035,5,3,"3,038","$450,000"
22,181721490,5,3,"4,394","$1,200,000"
23,181556706,3,3,"2,723","$489,000"
24,181738611,5,4,"4,115","$744,900"
25,69043953,3,3,"1,342","$305,000"
26,13614336,3,1,"1,064","$350,000"
27,13610394,2,1,"1,140","$215,000"
28,13579980,4,4,"2,877","$550,000"
29,13566737,3,2,"1,449","$395,000"
30,13667169,3,2,"1,323","$465,000"
31,13665230,2,2,"1,830","$425,000"
32,13560440,5,3,"3,118","$519,900"
33,13581140,4,2,"1,809","$385,000"
34,13599823,3,2,"1,476","$399,900"
35,338032294,4,3,"1,748","$435,000"
36,181739895,3,2,"1,469","$385,000"
37,2060748905,2,2,920,"$300,000"
38,13579333,3,4,"2,944","$640,000"
39,338030560,4,3,"2,571","$479,000"
40,181641608,5,6,"5,675","$1,250,000"
41,79847876,3,3,"2,328","$399,999"
42,13588546,4,2,"1,824","$339,900"
43,13578650,3,2,"1,743","$399,000"
44,80394784,5,4,"4,817","$1,075,000"
45,82241127,3,3,"3,185","$510,000"
46,13661251,3,3,"2,180","$515,000"
47,13626299,4,2,"1,690","$339,900"
48,13564988,4,2,"1,556","$379,000"
49,82241528,4,3,"2,650","$499,900"
50,13665522,--,--,--,"$540,000"
51,13621920,3,2,"1,105","$365,000"
52,13652262,4,4,"3,183","$549,549"
53,13535683,3,3,"5,633","$1,300,000"
54,80383099,6,5,"5,220","$800,000"
55,13582293,1,1,561,"$167,000"
56,13651615,4,4,"3,268","$575,000"
57,247510511,6,4,"4,229","$1,050,000"
58,13628694,2,1,894,"$265,000"
59,119310357,4,3,"3,373","$500,000"
60,13611715,4,2,"1,830","$379,000"
61,13557664,5,4,"4,014","$750,000"
62,84638480,5,9,"15,088","$6,250,000"
63,69038954,4,4,"2,947","$575,000"
64,247511137,4,3,"2,544","$450,000"
65,13540822,4,3,"2,282","$409,900"
66,69042832,3,3,"2,336","$409,000"
67,69039609,4,3,"4,038","$610,000"
68,59739161,4,2,"1,664","$329,000"
69,13539355,4,3,"3,432","$535,000"
70,13570540,4,3,"2,041","$439,000"
71,13599326,6,7,"8,400","$1,395,000"
72,13571223,3,3,"2,966","$465,000"
73,13637667,5,4,"5,707","$1,349,000"
74,13594330,4,3,"1,933","$489,000"
75,13665726,2,1,"1,049","$450,000"
76,13577733,5,4,"3,342","$500,000"
77,13636197,2,2,"1,124","$347,500"
78,13586477,3,3,"1,594","$299,999"
79,87934256,3,3,"1,963","$399,900"
80,72303511,3,2,"1,243","$310,000"
81,13562583,3,2,"1,720","$421,000"
82,13649905,5,3,"3,994","$639,000"
83,13535792,2,3,"1,091","$730,000"
84,13600409,4,2,"1,870","$389,000"
85,13659853,4,3,"5,371","$749,900"
86,59740591,6,5,"5,155","$925,000"
87,13674037,6,8,"5,827","$1,299,999"
88,13652758,4,3,"3,926","$600,000"
89,64675332,4,3,"2,246","$675,000"
90,13568468,6,4,"4,526","$1,265,000"
91,13609503,3,2,"1,073","$325,000"
92,181735368,5,4,"3,234","$695,000"
93,319913166,4,4,"3,368","$645,000"
94,13611657,5,2,"1,812","$365,000"
95,64908460,3,3,"1,920","$450,000"
96,13605493,3,3,"2,529","$698,000"
97,13534679,3,3,"2,656","$769,900"
98,13669037,6,6,"6,620","$1,699,000"
99,13660221,3,3,"2,200","$635,000"
100,13619748,4,2,"2,366","$355,000"
101,124229212,4,3,"2,812","$550,000"
102,13587610,4,4,"2,709","$484,900"
103,13585288,4,3,"2,341","$479,900"
104,13554676,5,4,"3,858","$717,000"
105,2061534815,--,--,--,"$340,000"
106,2060896234,3,3,"1,510","$400,000"
107,13591049,3,3,"2,416","$450,000"
108,13582270,2,1,769,"$209,900"
109,13650316,4,4,"2,308","$564,000"
110,13594642,2,1,862,"$199,000"
111,13660276,2,2,"1,261","$315,000"
112,13650087,6,5,"5,453","$945,000"
113,59739733,5,4,"3,442","$745,000"
114,338029871,2,2,"9,894","$590,000"
115,181574069,5,5,"5,120","$1,314,900"
116,294978899,3,3,"1,932","$440,000"
117,13556214,4,4,"2,596","$512,000"
118,80394057,3,3,"1,429","$385,000"
119,13621499,5,3,"2,586","$421,000"
120,13611682,3,1,"1,020","$310,000"
121,108396478,6,3,"2,476","$465,000"
122,13659073,3,3,"2,493","$850,000"
123,13596763,2,1,"1,392","$357,000"
124,92139481,4,5,"5,159","$1,585,000"
125,13617515,3,2,"1,948","$599,999"
126,13632382,3,1,"1,226","$325,000"
127,82403512,5,6,"5,860","$1,199,000"
128,13603344,3,2,"1,642","$395,000"
129,294978847,5,3,"3,338","$649,900"
130,82403405,4,4,"3,530","$695,000"
131,13544139,4,3,"2,093","$435,000"
132,338032113,3,3,"2,337","$635,000"
133,118175899,5,3,"3,242","$665,000"
134,319903945,5,7,"6,180","$3,675,000"
135,121867163,5,4,"3,212","$575,000"
136,13601287,4,2,"1,764","$340,000"
137,59986387,5,5,"4,625","$925,000"
138,59740441,5,4,"3,718","$650,000"
139,13652839,4,3,"3,621","$649,900"
140,243806641,5,2,"2,550","$529,000"
141,13568795,4,4,"3,580","$585,000"
142,2081040120,2,1,851,"$210,000"
143,13621976,4,3,"2,082","$399,900"
144,13627284,3,1,894,"$315,000"
145,64498841,2,2,"2,856","$370,000"
146,247510693,3,3,"1,634","$450,000"
147,13618691,3,1,983,"$310,000"
148,69308060,3,3,"3,336","$549,999"
149,13658392,2,2,"1,883","$650,000"
150,71718596,3,3,"1,520","$345,000"
151,92136064,3,3,"2,866","$530,000"
152,13593786,4,3,"4,639","$950,000"
153,13562399,4,4,"2,853","$575,000"
154,247509225,3,2,"1,500","$399,000"
155,13602165,3,2,"1,310","$345,000"
156,13561330,3,3,"2,192","$470,000"
157,13600860,4,3,"2,244","$400,000"
158,247511103,5,4,"3,405","$624,900"
159,13619112,5,2,"2,146","$395,000"
160,13615352,3,2,"1,862","$340,000"
161,294979957,4,3,"3,718","$787,000"
162,247509225,3,2,"1,500","$399,000"
163,13602165,3,2,"1,310","$345,000"
164,13561330,3,3,"2,192","$470,000"
165,13600860,4,3,"2,244","$400,000"
166,247511103,5,4,"3,405","$624,900"
167,13619112,5,2,"2,146","$395,000"
168,13615352,3,2,"1,862","$340,000"
169,294979957,4,3,"3,718","$787,000"
170,247509225,3,2,"1,500","$399,000"
171,13602165,3,2,"1,310","$345,000"
172,13561330,3,3,"2,192","$470,000"
173,13600860,4,3,"2,244","$400,000"
174,247511103,5,4,"3,405","$624,900"
175,13619112,5,2,"2,146","$395,000"
176,13615352,3,2,"1,862","$340,000"
177,294979957,4,3,"3,718","$787,000"
178,247509225,3,2,"1,500","$399,000"
179,13602165,3,2,"1,310","$345,000"
180,13561330,3,3,"2,192","$470,000"
181,13600860,4,3,"2,244","$400,000"
182,247511103,5,4,"3,405","$624,900"
183,13619112,5,2,"2,146","$395,000"
184,13615352,3,2,"1,862","$340,000"
185,294979957,4,3,"3,718","$787,000"
